freq_hz,s11_db,s21_db
2.092000000000000000e+10,-4.146252668091801752e+01,-1.198653184806761085e-01
2.094000000000000000e+10,-4.147055894767528628e+01,-1.198561142908180222e-01
2.096000000000000000e+10,-4.147897255775279746e+01,-1.198468490774141637e-01
2.098000000000000000e+10,-4.148776380718052792e+01,-1.198375221665941570e-01
2.100000000000000000e+10,-4.149692884061973075e+01,-1.198281330269794359e-01
2.102000000000000000e+10,-4.150646364581122327e+01,-1.198186813039544552e-01
2.104000000000000000e+10,-4.151636404874594888e+01,-1.198091668479346755e-01
2.106000000000000000e+10,-4.152662570955071430e+01,-1.197995897359574735e-01
2.108000000000000000e+10,-4.153724411906586056e+01,-1.197899502855224174e-01
2.110000000000000000e+10,-4.154821459605243916e+01,-1.197802490605451575e-01
2.112000000000000000e+10,-4.155953228494387020e+01,-1.197704868691807090e-01
2.114000000000000000e+10,-4.157119215403339751e+01,-1.197606647536419294e-01
2.116000000000000000e+10,-4.158318899396672919e+01,-1.197507839726726642e-01
2.118000000000000000e+10,-4.159551741639339184e+01,-1.197408459771779482e-01
2.120000000000000000e+10,-4.160817185263100271e+01,-1.197308523802030483e-01
2.122000000000000000e+10,-4.162114655217369119e+01,-1.197208049223009718e-01
2.124000000000000000e+10,-4.163443558091046270e+01,-1.197107054337206294e-01
2.126000000000000000e+10,-4.164803281888899988e+01,-1.197005557947572324e-01
2.128000000000000000e+10,-4.166193195751522182e+01,-1.196903578958534581e-01
2.130000000000000000e+10,-4.167612649606147102e+01,-1.196801135987659026e-01
2.132000000000000000e+10,-4.169060973741716225e+01,-1.196698247003284421e-01
2.134000000000000000e+10,-4.170537478300534673e+01,-1.196594928999680923e-01
2.136000000000000000e+10,-4.172041452686235630e+01,-1.196491197722480138e-01
2.138000000000000000e+10,-4.173572164886273583e+01,-1.196387067451296360e-01
2.140000000000000000e+10,-4.175128860714507084e+01,-1.196282550847939247e-01
2.142000000000000000e+10,-4.176710762979601554e+01,-1.196177658873668892e-01
2.144000000000000000e+10,-4.178317070590303928e+01,-1.196072400777102585e-01
2.146000000000000000e+10,-4.179946957608247970e+01,-1.195966784151370615e-01
2.148000000000000000e+10,-4.181599572264717324e+01,-1.195860815056885851e-01
2.150000000000000000e+10,-4.183274035955930970e+01,-1.195754498203829563e-01
2.152000000000000000e+10,-4.184969442235355075e+01,-1.195647837184743156e-01
2.154000000000000000e+10,-4.186684855819974871e+01,-1.195540834749363457e-01
2.156000000000000000e+10,-4.188419311628888408e+01,-1.195433493107753153e-01
2.158000000000000000e+10,-4.190171813870143325e+01,-1.195325814251081559e-01
2.160000000000000000e+10,-4.191941335192792906e+01,-1.195217800277471737e-01
2.162000000000000000e+10,-4.193726815916367912e+01,-1.195109453708085301e-01
2.164000000000000000e+10,-4.195527163350449484e+01,-1.195000777784855361e-01
2.166000000000000000e+10,-4.197341251212137081e+01,-1.194891776735560185e-01
2.168000000000000000e+10,-4.199167919147639338e+01,-1.194782455999028603e-01
2.170000000000000000e+10,-4.201005972360613328e+01,-1.194672822401445095e-01
2.172000000000000000e+10,-4.202854181346673812e+01,-1.194562884278542597e-01
2.174000000000000000e+10,-4.204711281730940442e+01,-1.194452651540383603e-01
2.176000000000000000e+10,-4.206575974202193891e+01,-1.194342135676657729e-01
2.178000000000000000e+10,-4.208446924535248712e+01,-1.194231349705275613e-01
2.180000000000000000e+10,-4.210322763691223713e+01,-1.194120308066231873e-01
2.182000000000000000e+10,-4.212202087983189358e+01,-1.194009026466398837e-01
2.184000000000000000e+10,-4.214083459295773082e+01,-1.193897521684473412e-01
2.186000000000000000e+10,-4.215965405344551442e+01,-1.193785811341489117e-01
2.188000000000000000e+10,-4.217846419964034510e+01,-1.193673913650281776e-01
